"Município";"Código Município Ibge";"Exercício";"Receitas Resultantes de  Impostos Próprias";"Receitas Resultante de Impostos Transf. Estado";"Receitas Resultantes de Impostos Transf. União";"Receitas Resultantes  de Impostos Total"
"Taquarituba";"3553807";"2014";"7.168.432,96";"15.679.816,73";"13.272.344,50";"36.120.594,19"
"Taquarituba";"3553807";"2013";"6.851.305,22";"14.824.720,21";"12.438.197,48";"34.114.222,91"
"Taquarivaí";"3553856";"2014";"974.347,90";"5.489.656,77";"6.781.793,30";"13.245.797,97"
"Taquarivaí";"3553856";"2013";"948.391,64";"5.180.599,69";"6.264.710,40";"12.393.701,73"
"Tarabai";"3553906";"2014";"565.574,35";"4.272.423,88";"6.678.520,97";"11.516.519,20"
"Tarabai";"3553906";"2013";"674.377,80";"4.291.065,51";"6.215.278,01";"11.180.721,32"
"Tarumã";"3553955";"2014";"7.201.366,79";"17.166.084,14";"11.248.883,37";"35.616.334,30"
"Tarumã";"3553955";"2013";"5.483.710,60";"17.619.768,46";"8.448.506,48";"31.551.985,54"
"Tatuí";"3554003";"2014";"53.057.207,89";"78.722.993,80";"35.858.831,46";"167.639.033,15"
"Tatuí";"3554003";"2013";"45.883.490,05";"77.505.633,54";"33.416.534,01";"156.805.657,60"
"Taubaté";"3554102";"2014";"191.103.640,07";"295.294.152,87";"56.164.457,01";"542.562.249,95"
"Taubaté";"3554102";"2013";"173.993.894,97";"310.286.953,98";"52.721.492,70";"537.002.341,65"
"Tejupá";"3554201";"2014";"547.075,85";"4.421.717,33";"6.734.808,88";"11.703.602,06"
"Tejupá";"3554201";"2013";"520.587,96";"4.535.177,25";"6.280.707,96";"11.336.473,17"
"Teodoro Sampaio";"3554300";"2014";"4.069.238,61";"21.738.690,62";"13.962.136,92";"39.770.066,15"
"Teodoro Sampaio";"3554300";"2013";"4.253.959,22";"20.947.347,22";"12.935.757,71";"38.137.064,15"
"Terra Roxa";"3554409";"2014";"1.208.618,33";"6.688.232,07";"6.998.564,54";"14.895.414,94"
"Terra Roxa";"3554409";"2013";"853.691,09";"6.934.747,56";"6.230.822,74";"14.019.261,39"
"Tietê";"3554508";"2014";"20.292.316,25";"37.925.529,37";"20.866.831,96";"79.084.677,58"
"Tietê";"3554508";"2013";"16.775.508,14";"36.766.303,19";"18.325.496,07";"71.867.307,40"
"Timburi";"3554607";"2014";"600.168,16";"3.518.675,85";"6.667.539,79";"10.786.383,80"
"Timburi";"3554607";"2013";"572.665,11";"3.573.570,14";"6.196.885,81";"10.343.121,06"
"Torre de Pedra";"3554656";"2014";"182.874,56";"1.895.010,69";"6.743.236,13";"8.821.121,38"
"Torre de Pedra";"3554656";"2013";"201.099,87";"1.848.382,67";"6.305.893,80";"8.355.376,34"
"Torrinha";"3554706";"2014";"2.216.136,80";"7.422.059,10";"6.833.841,99";"16.472.037,89"
"Torrinha";"3554706";"2013";"1.786.783,67";"7.646.882,27";"6.323.272,26";"15.756.938,20"
"Trabiju";"3554755";"2014";"255.956,42";"2.121.365,82";"6.639.098,80";"9.016.421,04"
"Trabiju";"3554755";"2013";"207.093,55";"2.146.425,84";"6.314.796,72";"8.668.316,11"
"Tremembé";"3554805";"2014";"20.198.684,50";"17.302.264,02";"20.039.078,33";"57.540.026,85"
"Tremembé";"3554805";"2013";"18.492.435,42";"16.372.925,38";"18.572.224,87";"53.437.585,67"
"Três Fronteiras";"3554904";"2014";"1.280.607,10";"3.969.919,39";"6.660.223,60";"11.910.750,09"
"Três Fronteiras";"3554904";"2013";"1.186.839,20";"3.838.676,93";"6.222.664,80";"11.248.180,93"
"Tuiuti";"3554953";"2014";"1.039.675,87";"3.879.179,71";"6.641.404,56";"11.560.260,14"
"Tuiuti";"3554953";"2013";"677.801,52";"5.419.844,90";"6.194.699,71";"12.292.346,13"
"Tupã";"3555000";"2014";"27.031.853,20";"36.862.763,87";"26.954.785,88";"90.849.402,95"
"Tupã";"3555000";"2013";"24.857.577,05";"35.284.432,51";"25.172.659,23";"85.314.668,79"
"Tupi Paulista";"3555109";"2014";"3.493.367,34";"8.276.845,69";"11.112.359,32";"22.882.572,35"
"Tupi Paulista";"3555109";"2013";"3.274.739,99";"8.245.895,63";"10.363.115,66";"21.883.751,28"
"Turiúba";"3555208";"2014";"316.904,32";"3.357.792,62";"6.428.374,19";"10.103.071,13"
"Turiúba";"3555208";"2013";"384.733,07";"3.425.342,71";"6.267.593,30";"10.077.669,08"
"Turmalina";"3555307";"2014";"393.419,02";"3.090.188,95";"6.442.113,19";"9.925.721,16"
"Turmalina";"3555307";"2013";"371.350,71";"2.807.162,67";"5.981.180,00";"9.159.693,38"
"Ubarana";"3555356";"2014";"1.483.882,01";"7.197.329,19";"6.926.350,64";"15.607.561,84"
"Ubarana";"3555356";"2013";"1.696.397,78";"6.636.423,34";"6.465.178,84";"14.797.999,96"
"Ubatuba";"3555406";"2014";"71.883.614,30";"33.748.703,55";"30.987.847,47";"136.620.165,32"
"Ubatuba";"3555406";"2013";"65.780.375,78";"32.811.739,62";"26.882.143,84";"125.474.259,24"
"Ubirajara";"3555505";"2014";"518.238,77";"4.253.289,51";"6.409.139,23";"11.180.667,51"
"Ubirajara";"3555505";"2013";"502.027,49";"4.178.489,45";"5.967.800,67";"10.648.317,61"
"Uchoa";"3555604";"2014";"3.961.067,78";"7.708.044,48";"6.734.067,48";"18.403.179,74"
"Uchoa";"3555604";"2013";"3.504.151,21";"7.453.414,64";"6.288.360,04";"17.245.925,89"
"União Paulista";"3555703";"2014";"346.523,48";"2.502.560,95";"6.741.198,03";"9.590.282,46"
"União Paulista";"3555703";"2013";"457.266,80";"2.530.746,09";"6.337.809,62";"9.325.822,51"
"Urânia";"3555802";"2014";"1.663.335,12";"6.027.251,01";"6.693.038,33";"14.383.624,46"
"Urânia";"3555802";"2013";"1.390.807,36";"5.864.368,60";"6.247.344,38";"13.502.520,34"
"Uru";"3555901";"2014";"201.879,62";"3.686.416,14";"6.701.041,09";"10.589.336,85"
"Uru";"3555901";"2013";"179.713,26";"3.852.800,02";"6.237.618,20";"10.270.131,48"
"Urupês";"3556008";"2014";"3.239.907,77";"9.958.863,46";"8.974.449,89";"22.173.221,12"
"Urupês";"3556008";"2013";"2.811.427,38";"9.630.144,87";"8.365.394,98";"20.806.967,23"
"Valentim Gentil";"3556107";"2014";"2.808.703,45";"8.508.027,57";"8.926.832,24";"20.243.563,26"
"Valentim Gentil";"3556107";"2013";"2.475.831,00";"8.074.003,62";"7.978.555,27";"18.528.389,89"
"Valinhos";"3556206";"2014";"123.906.107,14";"123.078.562,92";"37.990.548,20";"284.975.218,26"
"Valinhos";"3556206";"2013";"111.142.997,65";"122.357.840,98";"33.448.217,66";"266.949.056,29"
"Valparaíso";"3556305";"2014";"6.221.523,72";"22.186.001,99";"17.026.310,64";"45.433.836,35"
"Valparaíso";"3556305";"2013";"6.974.813,43";"24.056.947,38";"12.946.141,98";"43.977.902,79"
"Vargem";"3556354";"2014";"1.481.289,25";"4.371.300,53";"6.633.056,13";"12.485.645,91"
"Vargem";"3556354";"2013";"1.661.356,27";"4.423.612,68";"6.259.255,12";"12.344.224,07"
"Vargem Grande do Sul";"3556404";"2014";"10.074.094,54";"21.339.000,16";"19.945.594,08";"51.358.688,78"
"Vargem Grande do Sul";"3556404";"2013";"10.401.165,51";"20.083.645,27";"18.617.055,76";"49.101.866,54"
"Vargem Grande Paulista";"3556453";"2014";"37.427.591,06";"34.329.822,58";"22.164.847,49";"93.922.261,13"
"Vargem Grande Paulista";"3556453";"2013";"30.488.254,23";"31.374.534,33";"20.685.522,56";"82.548.311,12"
"Várzea Paulista";"3556503";"2014";"29.431.265,23";"61.142.638,54";"35.457.983,82";"126.031.887,59"
"Várzea Paulista";"3556503";"2013";"26.658.970,72";"60.717.928,27";"33.137.051,76";"120.513.950,75"
"Vera Cruz";"3556602";"2014";"1.940.662,21";"5.957.875,11";"8.914.788,48";"16.813.325,80"
"Vera Cruz";"3556602";"2013";"1.846.027,75";"6.097.040,09";"8.300.238,09";"16.243.305,93"
"Vinhedo";"3556701";"2014";"73.596.430,67";"199.677.770,56";"27.342.234,55";"300.616.435,78"
"Vinhedo";"3556701";"2013";"68.784.778,12";"212.487.514,61";"26.166.602,55";"307.438.895,28"
"Viradouro";"3556800";"2014";"2.838.839,24";"9.386.297,67";"13.576.324,53";"25.801.461,44"
"Viradouro";"3556800";"2013";"2.161.981,15";"9.250.922,24";"12.625.314,23";"24.038.217,62"
"Vista Alegre do Alto";"3556909";"2014";"1.758.567,09";"10.844.032,07";"6.698.126,75";"19.300.725,91"
"Vista Alegre do Alto";"3556909";"2013";"1.694.830,95";"10.774.818,97";"6.251.326,42";"18.720.976,34"
"Vitória Brasil";"3556958";"2014";"174.888,45";"1.704.686,93";"6.617.567,99";"8.497.143,37"
"Vitória Brasil";"3556958";"2013";"180.975,94";"1.683.003,71";"6.177.598,16";"8.041.577,81"
"Votorantim";"3557006";"2014";"62.490.048,60";"66.048.114,45";"37.858.582,22";"166.396.745,27"
"Votorantim";"3557006";"2013";"67.140.397,61";"66.324.031,34";"33.208.939,20";"166.673.368,15"
"Votuporanga";"3557105";"2014";"39.945.444,25";"52.023.360,23";"31.273.444,80";"123.242.249,28"
"Votuporanga";"3557105";"2013";"38.591.305,83";"49.709.849,07";"29.164.342,06";"117.465.496,96"
"Zacarias";"3557154";"2014";"928.621,66";"6.830.893,42";"6.877.875,62";"14.637.390,70"
"Zacarias";"3557154";"2013";"641.528,95";"7.040.602,69";"6.155.519,86";"13.837.651,50"
